u,team,group,lambda1,lambda2
1.5070355905333004,8,2,0,0.04
0.7049149356840596,9,3,0,0.04
0.5280255406041913,10,3,0,0.04
0.18528051746273713,11,3,0,0.04
0.09867604391556009,12,3,0,0.04
2.57506574723089,13,4,0,0.04
1.9972296591322811,14,4,0,0.04
0.6327812372136769,15,4,0,0.04
0.24289716998807856,16,4,0,0.04
0.19016728284959314,17,5,0,0.04
0.3113434016603749,18,5,0,0.04
0.42530623568585674,19,5,0,0.04
0.6491166401716916,20,5,0,0.04
0.5984381214321212,21,6,0,0.04
0.771870734816963,22,6,0,0.04
1.787602457720599,23,6,0,0.04
2.0653444195808417,24,6,0,0.04
0.4839663168580814,25,7,0,0.04
3.5730225444058257,26,7,0,0.04
0.3921555181186703,27,7,0,0.04
0.2791423158285408,28,7,0,0.04
2.9851864842271887,29,8,0,0.04
0.3940541869024533,30,8,0,0.04
1.6931025617809818,31,8,0,0.04
0.6987760734677846,32,8,0,0.04
0.6703736317214355,1,1,0,0.06
0.3100710307230513,2,1,0,0.06
1.9403770306618537,3,1,0,0.06
0.9409821863201212,4,1,0,0.06
0.30791499486022816,5,2,0,0.06
2.226482919726867,6,2,0,0.06
0.15890951996552222,7,2,0,0.06
1.5135353048936089,8,2,0,0.06
0.8221815349952102,9,3,0,0.06
0.6113821126412862,10,3,0,0.06
0.21234136748206733,11,3,0,0.06
0.11280475751193218,12,3,0,0.06
2.3786661024204068,13,4,0,0.06
1.9410181563465074,14,4,0,0.06
0.6583303262730484,15,4,0,0.06
0.25526787877067847,16,4,0,0.06
0.21952254110266295,17,5,0,0.06
0.3596970051646658,18,5,0,0.06
0.4924451221879986,19,5,0,0.06
0.7601755836571866,20,5,0,0.06
0.6211061573481158,21,6,0,0.06
0.7979695016832727,22,6,0,0.06
1.7307276096605961,23,6,0,0.06
1.98352115951752,24,6,0,0.06
0.5526615312265166,25,7,0,0.06
3.180098139937373,26,7,0,0.06
0.44672445953997963,27,7,0,0.06
0.31782394399037656,28,7,0,0.06
2.6877845686368413,29,8,0,0.06
0.4108598774388352,30,8,0,0.06
1.6534071244927775,31,8,0,0.06
0.7248368191014598,32,8,0,0.06
0.7477740121915528,1,1,0,0.08
0.3453731187205998,2,1,0,0.08
1.9294247101996742,3,1,0,0.08
1.0549632278805912,4,1,0,0.08
0.3196327589217223,5,2,0,0.08
2.1249739994437395,6,2,0,0.08
0.16519937502741214,7,2,0,0.08
1.4982366159918485,8,2,0,0.08
0.9136426698885948,9,3,0,0.08
0.6797794070846557,10,3,0,0.08
0.2350630945407709,11,3,0,0.08
0.12456797766546518,12,3,0,0.08
2.2434681524787714,13,4,0,0.08
1.878119266147088,14,4,0,0.08
0.6753309373226124,15,4,0,0.08
0.2647535494862107,16,4,0,0.08
0.24477651286433844,17,5,0,0.08
0.40161313065878507,18,5,0,0.08
0.5506277544769429,19,5,0,0.08
0.8571471872759518,20,5,0,0.08
0.6393914623206945,21,6,0,0.08
0.8182826936687837,22,6,0,0.08
1.6773473496181812,23,6,0,0.08
1.9078855077409993,24,6,0,0.08
0.6142266179250011,25,7,0,0.08
2.950372268241492,26,7,0,0.08
0.4952886598381355,27,7,0,0.08
0.35213880300660033,28,7,0,0.08
2.506184590981534,29,8,0,0.08
0.4248732865018694,30,8,0,0.08
1.6138373860694855,31,8,0,0.08
0.7457039158198964,32,8,0,0.08
0.8147725842926574,1,1,0,0.1
0.37876487676151976,2,1,0,0.1
1.8928602845490314,3,1,0,0.1
1.13534509052259,4,1,0,0.1
0.3307825864792362,5,2,0,0.1
2.0354339471836767,6,2,0,0.1
0.1709496634132747,7,2,0,0.1
1.4786529424198442,8,2,0,0.1
0.9896523230757595,9,3,0,0.1
0.7436820636187759,10,3,0,0.1
0.2570135057635731,11,3,0,0.1
0.13584706895128923,12,3,0,0.1
2.128141280510608,13,4,0,0.1
1.8161208866289744,14,4,0,0.1
0.6903540026736418,15,4,0,0.1
0.2737604098505916,16,4,0,0.1
0.2695562120980338,17,5,0,0.1
0.4430423136334344,18,5,0,0.1
0.6078241162061525,19,5,0,0.1
0.9461501856538702,20,5,0,0.1
0.6570090328107917,21,6,0,0.1
0.8379601891751763,22,6,0,0.1
1.626780910805068,23,6,0,0.1
1.837672160013766,24,6,0,0.1
0.6771201595572428,25,7,0,0.1
2.758936249222521,26,7,0,0.1
0.5442727939371024,27,7,0,0.1
0.3867622065134168,28,7,0,0.1
2.356060054759535,29,8,0,0.1
0.4388450605410205,30,8,0,0.1
1.5743309609503924,31,8,0,0.1
0.7655438774274289,32,8,0,0.1
0.8703968506802432,1,1,0,0.12
0.41052797986361456,2,1,0,0.12
1.846236530574719,3,1,0,0.12
1.1879769897781318,4,1,0,0.12
0.34208802569795593,5,2,0,0.12
1.9566967424707045,6,2,0,0.12
0.17661377647711893,7,2,0,0.12
1.458150734488773,8,2,0,0.12
1.0483258864830942,9,3,0,0.12
0.8016373583669152,10,3,0,0.12
0.2783837113820294,11,3,0,0.12
0.14676195407474388,12,3,0,0.12
2.028773206081672,13,4,0,0.12
1.7579623253523822,14,4,0,0.12
0.7056598447259738,15,4,0,0.12
0.2829281866246156,16,4,0,0.12
0.29383177386498804,17,5,0,0.12
0.48384690054604973,18,5,0,0.12
0.6633252297161859,19,5,0,0.12
1.019374050025456,20,5,0,0.12
0.674826875056853,21,6,0,0.12
0.8576155843581794,22,6,0,0.12
1.5801446573677758,23,6,0,0.12
1.7735069791646971,24,6,0,0.12
0.7399690057661981,25,7,0,0.12
2.5949179654221437,26,7,0,0.12
0.5935188386047309,27,7,0,0.12
0.4217350868072987,28,7,0,0.12
2.2288555735710958,29,8,0,0.12
0.4533966340854654,30,8,0,0.12
1.5367365221221487,31,8,0,0.12
0.7852782203980532,32,8,0,0.12
0.9151652339654119,1,1,0,0.14
0.44123190335342943,2,1,0,0.14
1.796386331731094,3,1,0,0.14
1.2205256563808913,4,1,0,0.14
0.3540601987695591,5,2,0,0.14
1.8875684597196454,6,2,0,0.14
0.18249838938691712,7,2,0,0.14
1.4380570561744384,8,2,0,0.14
1.091344518235136,9,3,0,0.14
0.8521180240709839,10,3,0,0.14
0.29934488745894594,11,3,0,0.14
0.1574186500603636,12,3,0,0.14
1.9427083179701519,13,4,0,0.14
1.7046253446256256,14,4,0,0.14
0.7225072187766743,15,4,0,0.14
0.29270656746337453,16,4,0,0.14
0.31765985868496527,17,5,0,0.14
0.5240145616528258,18,5,0,0.14
0.7158341819934422,19,5,0,0.14
1.0747593367089145,20,5,0,0.14
0.6934027997053541,21,6,0,0.14
0.8767746352081974,22,6,0,0.14
1.5375602156716137,23,6,0,0.14
1.7151264391766894,24,6,0,0.14
0.7990221126965712,25,7,0,0.14
2.4528789955120023,26,7,0,0.14
0.642208340566083,27,7,0,0.14
0.4569515748900604,28,7,0,0.14
2.1196944324880143,29,8,0,0.14
0.46883248898002855,30,8,0,0.14
1.5017135523555232,31,8,0,0.14
0.8052997155670757,32,8,0,0.14
0.9504534290989314,1,1,0,0.16
0.471792162709026,2,1,0,0.16
1.7466277509855448,3,1,0,0.16
1.2391608738171622,4,1,0,0.16
0.3671306555517125,5,2,0,0.16
1.826722082732728,6,2,0,0.16
0.1888265869987365,7,2,0,0.16
1.4188564935524928,8,2,0,0.16
1.1218038700498878,9,3,0,0.16
0.8946024056954508,10,3,0,0.16
0.3201754277391225,11,3,0,0.16
0.16796284887218418,12,3,0,0.16
1.8676922979665236,13,4,0,0.16
1.6561478723495144,14,4,0,0.16
0.7412642032693793,15,4,0,0.16
0.30345337003444767,16,4,0,0.16
0.341232555435228,17,5,0,0.16
0.5637038227293122,18,5,0,0.16
0.763680859388196,19,5,0,0.16
1.1142087759107557,20,5,0,0.16
0.7128778914847801,21,6,0,0.16
0.8946383332950413,22,6,0,0.16
1.4987359735944972,23,6,0,0.16
1.6619863810494673,24,6,0,0.16
0.8507709851170446,25,7,0,0.16
2.3289853878359095,26,7,0,0.16
0.6888973046985254,27,7,0,0.16
0.49241190514645156,28,7,0,0.16
2.0250036595507352,29,8,0,0.16
0.48542049274149573,30,8,0,0.16
1.4693435330521998,31,8,0,0.16
0.8254298075475204,32,8,0,0.16
0.9779370833353201,1,1,0,0.18
0.5035030500531091,2,1,0,0.18
1.698328353207008,3,1,0,0.18
1.2482961448573882,4,1,0,0.18
0.3817547441955422,5,2,0,0.18
1.7725582475395671,6,2,0,0.18
0.19579484469828884,7,2,0,0.18
1.4005359753290645,8,2,0,0.18
1.1428226292848775,9,3,0,0.18
0.9296440562901381,10,3,0,0.18
0.34137395832800616,11,3,0,0.18
0.17862871276745645,12,3,0,0.18
1.801448099052787,13,4,0,0.18
1.6119122488766744,14,4,0,0.18
0.761626491959341,15,4,0,0.18
0.31551530514863435,16,4,0,0.18
0.36493079814938134,17,5,0,0.18
0.6030064633181956,18,5,0,0.18
0.8057397508855955,19,5,0,0.18
1.1409968189701765,20,5,0,0.18
0.7330174509185828,21,6,0,0.18
0.9106527357475955,22,6,0,0.18
1.4630789969649236,23,6,0,0.18
1.6132660938957404,24,6,0,0.18
0.8939041424865362,25,7,0,0.18
2.219633195248064,26,7,0,0.18
0.7321515472865752,27,7,0,0.18
0.5283748295947572,28,7,0,0.18
1.941606541506581,29,8,0,0.18
0.5035129258364234,30,8,0,0.18
1.4392853952991682,31,8,0,0.18
0.8451623689684982,32,8,0,0.18
0.9987798639265545,1,1,0,0.2
0.5371626089395136,2,1,0,0.2
1.6523230774185182,3,1,0,0.2
1.25069002266703,4,1,0,0.2
0.3983529208925235,5,2,0,0.2
1.7242010741188734,6,2,0,0.2
0.20356518648572205,7,2,0,0.2
1.3831068502902277,8,2,0,0.2
1.1565830604935006,9,3,0,0.2
0.9577948410680609,10,3,0,0.2
0.36337629545807776,11,3,0,0.2
0.1895922127999686,12,3,0,0.2
1.7427340592001914,13,4,0,0.2
1.5716266593095523,14,4,0,0.2
0.782710835040372,15,4,0,0.2
0.3291755899889036,16,4,0,0.2
0.3889384175965694,17,5,0,0.2
0.6410737564981601,18,5,0,0.2
0.8412218601249186,19,5,0,0.2
1.157858271113681,20,5,0,0.2
0.7531713694567527,21,6,0,0.2
0.9244622755296723,22,6,0,0.2
1.4303377047591215,23,6,0,0.2
1.568622292238815,24,6,0,0.2
0.9282665393614986,25,7,0,0.2
2.1229656378192687,26,7,0,0.2
0.7704981649760912,27,7,0,0.2
0.5645217300154927,28,7,0,0.2
1.8678139593018257,29,8,0,0.2
0.5233237095576003,30,8,0,0.2
1.4114240374893787,31,8,0,0.2
0.8637251160635633,32,8,0,0.2
1.014171542440547,1,1,0,0.22
0.5726956968998721,2,1,0,0.22
1.608915934769673,3,1,0,0.22
1.2483764942209876,4,1,0,0.22
0.4173075584066632,5,2,0,0.22
1.680707318794253,6,2,0,0.22
0.21229708666509267,7,2,0,0.22
1.366462210977461,8,2,0,0.22
1.16489421626795,9,3,0,0.22
0.9799823832177399,10,3,0,0.22
0.38671194571327955,11,3,0,0.22
0.20104908823996284,12,3,0,0.22
1.6902848012857576,13,4,0,0.22
1.5348039108788254,14,4,0,0.22
0.8035567025939943,15,4,0,0.22
0.3447071886330011,16,4,0,0.22
0.4134816045128375,17,5,0,0.22
0.6768917060957806,18,5,0,0.22
0.8703458879675215,19,5,0,0.22
1.1673110736938166,20,5,0,0.22
0.7726869209487354,21,6,0,0.22
0.9360561917594418,22,6,0,0.22
1.4001802799356309,23,6,0,0.22
1.52761891652221,24,6,0,0.22
0.9548877647581274,25,7,0,0.22
2.0370387532122476,26,7,0,0.22
0.8034450147432364,27,7,0,0.22
0.6001925744407338,28,7,0,0.22
1.8020169725823652,29,8,0,0.22
0.5448703260568449,30,8,0,0.22
1.3855104549915138,31,8,0,0.22
0.880541477773895,32,8,0,0.22
1.0252477639717534,1,1,0,0.24
0.6091818222466616,2,1,0,0.24
1.5680174563660203,3,1,0,0.24
1.2428214589801947,4,1,0,0.24
0.43888484615279966,5,2,0,0.24
1.6410815134319534,6,2,0,0.24
0.22215914999562278,7,2,0,0.24
1.3504122585991478,8,2,0,0.24
1.1691672821699874,9,3,0,0.24
0.997273567045439,10,3,0,0.24
0.41196927595341126,11,3,0,0.24
0.21322944175465014,12,3,0,0.24
1.642810805877764,13,4,0,0.24
1.5008104127987658,14,4,0,0.24
0.8234778785462277,15,4,0,0.24
0.3624306748238488,16,4,0,0.24
0.4388989335546212,17,5,0,0.24
0.7098348907127757,18,5,0,0.24
0.8939666536738262,19,5,0,0.24
1.1714001159776586,20,5,0,0.24
0.7911476922240896,21,6,0,0.24
0.9456488810871996,22,6,0,0.24
1.3721919950259254,23,6,0,0.24
1.4897089440584435,24,6,0,0.24
0.97523389317903,25,7,0,0.24
1.959835564931949,26,7,0,0.24
